gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description
Montipora_capitata_HIv3___RNAseq.g13857.t1	Q8R0G9	NU133_MOUSE	37.138	1104	639	28	160	3387	72	1148	4.17e-176	551	3420	1155	94	MEDIUM	Nuclear pore complex protein Nup133
Montipora_capitata_HIv3___RNAseq.g13870.t1	Q9NZJ4	SACS_HUMAN	31.909	4682	2704	143	10	13278	84	4540	0.0	1919	13359	4579	99	MEDIUM	Sacsin
Montipora_capitata_HIv3___RNAseq.g14155.t1	Q6AZN8	ZNT6A_XENLA	54.545	330	148	1	280	1269	11	338	9.55e-114	346	1431	464	69	HIGH	Zinc transporter 6-A
Montipora_capitata_HIv3___TS.g22430.t1	P17972	KCNAW_DROME	36.961	441	226	11	661	1896	75	492	2.73e-79	264	2058	498	60	MEDIUM	Potassium voltage-gated channel protein Shaw
Montipora_capitata_HIv3___RNAseq.g14488.t1	Q2KJ64	ARGI1_BOVIN	47.651	298	148	5	103	990	10	301	5.25e-88	271	1074	322	83	HIGH	Arginase-1
Montipora_capitata_HIv3___RNAseq.g14515.t1	Q5ZIF1	APMAP_CHICK	40.441	136	75	2	16	411	280	413	1.81e-27	108	417	415	95	HIGH	Adipocyte plasma membrane-associated protein
Montipora_capitata_HIv3___RNAseq.g14599.t1	B8VIU6	USOM5_ACRMI	52.258	155	72	1	28	492	35	187	7.56e-48	166	1113	256	42	LOW	Uncharacterized skeletal organic matrix protein 5
Montipora_capitata_HIv3___RNAseq.g14624.t1	A7SXG9	NEP8_NEMVE	46.795	156	74	6	211	654	53	207	9.57e-37	138	1089	313	41	LOW	Nematocyst expressed protein 8
Montipora_capitata_HIv3___RNAseq.g14625.t1	Q9DBI0	TMPS6_MOUSE	39.552	268	143	5	469	1269	562	811	2.45e-54	196	1296	811	62	MEDIUM	Transmembrane protease serine 6
Montipora_capitata_HIv3___RNAseq.g14655.t1	P54120	IAN8_ARATH	31.301	246	139	8	1090	1812	45	265	1.21e-21	101	2658	353	27	LOW	Immune-associated nucleotide-binding protein 8
Montipora_capitata_HIv3___RNAseq.g14940.t1	Q9WV75	SPON2_RAT	32.751	229	136	5	649	1293	16	240	7.32e-26	111	1407	330	91	MEDIUM	Spondin-2
Montipora_capitata_HIv3___RNAseq.g14942.t1	Q56X76	RH39_ARATH	37.788	434	241	10	358	1638	111	522	2.61e-79	265	1731	621	74	MEDIUM	DEAD-box ATP-dependent RNA helicase 39
Montipora_capitata_HIv3___RNAseq.g14946.t1	P86854	PLCL_MYTGA	34.375	128	80	4	208	585	30	155	3.42e-22	91.3	618	156	61	MEDIUM	Perlucin-like protein
Montipora_capitata_HIv3___RNAseq.g14947.t1	P86854	PLCL_MYTGA	33.071	127	79	4	208	585	30	151	1.46e-19	84.7	636	156	59	MEDIUM	Perlucin-like protein
Montipora_capitata_HIv3___RNAseq.g14956.t1	I3PB37	4CL1_PETHY	36.567	536	327	8	1	1587	12	541	3.75e-115	356	1764	544	90	MEDIUM	4-coumarate:CoA ligase 1
Montipora_capitata_HIv3___RNAseq.g14960.t1	O24145	4CL1_TOBAC	43.346	526	287	7	7	1563	17	538	2.09e-132	416	3348	547	90	HIGH	4-coumarate--CoA ligase 1
Montipora_capitata_HIv3___RNAseq.g14965.t1	Q9HAW4	CLSPN_HUMAN	33.451	565	255	22	1831	3324	827	1337	1.24e-42	174	3327	1339	45	LOW	Claspin
Montipora_capitata_HIv3___RNAseq.g15029.t1b	A7Z063	WASH1_BOVIN	54.128	436	195	4	28	1323	13	447	6.74e-111	338	1410	471	92	HIGH	WASH complex subunit 1
Montipora_capitata_HIv3___TS.g23127.t1	Q9ZSK4	ADF3_ARATH	31.933	119	70	3	532	885	10	118	7.66e-11	62.8	963	139	74	MEDIUM	Actin-depolymerizing factor 3
Montipora_capitata_HIv3___RNAseq.g15043.t1	O44001	HSP90_EIMTE	67.560	709	219	3	73	2190	13	713	0.0	876	2193	713	97	HIGH	Heat shock protein 90
Montipora_capitata_HIv3___RNAseq.g15052.t1	O00463	TRAF5_HUMAN	27.273	264	187	4	34	810	35	298	5.86e-19	92.0	1113	557	70	LOW	TNF receptor-associated factor 5
Montipora_capitata_HIv3___TS.g23193.t1	P13466	GELA_DICDI	26.718	131	79	3	271	621	568	695	5.31e-06	53.1	1476	857	24	LOW	Gelation factor
Montipora_capitata_HIv3___RNAseq.g15140.t1	Q6PC60	H2B3_DANRE	94.382	89	5	0	103	369	38	126	1.08e-57	177	372	126	72	HIGH	Histone H2B 3
Montipora_capitata_HIv3___RNAseq.g15153.t1	Q9BUH8	BEGIN_HUMAN	27.536	138	95	2	274	681	40	174	2.47e-11	67.0	762	593	54	LOW	Brain-enriched guanylate kinase-associated protein
Montipora_capitata_HIv3___TS.g23246.t1	Q8NHS3	MFSD8_HUMAN	30.968	155	96	5	10	450	33	184	6.58e-11	63.5	531	518	83	MEDIUM	Major facilitator superfamily domain-containing protein 8
Montipora_capitata_HIv3___RNAseq.g15186.t1	Q9NW38	FANCL_HUMAN	49.194	372	183	4	34	1146	8	374	1.80e-121	359	1149	375	97	HIGH	E3 ubiquitin-protein ligase FANCL
Montipora_capitata_HIv3___RNAseq.g15188.t1	Q9DBY1	SYVN1_MOUSE	80.180	333	66	0	4	1002	3	335	0.0	578	1947	612	60	HIGH	E3 ubiquitin-protein ligase synoviolin
Montipora_capitata_HIv3___RNAseq.g15213.t1b	B8V7S0	CPP1_ACRMI	50.267	187	77	2	214	774	264	434	3.24e-43	166	2367	435	35	LOW	CUB and peptidase domain-containing protein 1 (Fragment)
Montipora_capitata_HIv3___RNAseq.g4625.t1	Q9K7A0	CSD_HALH5	28.607	402	259	12	142	1332	22	400	9.23e-29	122	1788	406	67	LOW	Probable cysteine desulfurase
Montipora_capitata_HIv3___RNAseq.97_t	A0A481NV25	TYRDC_ENTFC	29.068	633	358	15	148	2004	10	565	2.79e-76	265	2859	611	65	LOW	L-tyrosine decarboxylase
Montipora_capitata_HIv3___RNAseq.259_t	Q96CG8	CTHR1_HUMAN	41.584	202	93	3	124	711	61	243	5.37e-40	141	723	243	81	HIGH	Collagen triple helix repeat-containing protein 1
Montipora_capitata_HIv3___RNAseq.262_t	Q8CG08	CTHR1_RAT	40.237	169	92	3	232	714	78	245	1.75e-34	127	726	245	67	HIGH	Collagen triple helix repeat-containing protein 1
Montipora_capitata_HIv3___RNAseq.g4861.t1	Q9Y2C9	TLR6_HUMAN	24.176	182	119	4	688	1176	570	751	2.20e-11	70.1	1359	796	36	LOW	Toll-like receptor 6
Montipora_capitata_HIv3___TS.g26714.t1	O60290	ZN862_HUMAN	30.000	160	111	1	1	477	701	860	2.89e-19	88.2	555	1169	86	MEDIUM	Zinc finger protein 862
Montipora_capitata_HIv3___RNAseq.g5179.t1	Q8IVV2	LOXH1_HUMAN	27.027	111	49	1	508	744	810	920	3.44e-08	57.8	786	2067	32	LOW	Lipoxygenase homology domain-containing protein 1
Montipora_capitata_HIv3___TS.g26916.t2	Q8C9V1	TB10C_MOUSE	27.778	342	155	10	46	1050	36	292	6.81e-35	140	1911	444	53	LOW	Carabin
Montipora_capitata_HIv3___RNAseq.g5197.t1	Q5M7D8	CM2CB_XENLA	41.216	148	79	5	25	462	11	152	4.47e-28	107	645	155	68	HIGH	Ciliary microtubule inner protein 2C
Montipora_capitata_HIv3___TS.g26936.t1a	O94813	SLIT2_HUMAN	26.702	191	114	6	136	675	1064	1239	1.41e-09	62.0	768	1529	71	LOW	Slit homolog 2 protein
Montipora_capitata_HIv3___RNAseq.g5348.t1	Q7Z494	NPHP3_HUMAN	25.600	375	243	6	133	1164	961	1330	4.47e-26	115	1383	1330	87	LOW	Nephrocystin-3
Montipora_capitata_HIv3___RNAseq.g5355.t1	Q9C091	GRB1L_HUMAN	32.203	177	99	9	967	1461	671	838	5.95e-07	57.0	1866	1923	27	LOW	GREB1-like protein
Montipora_capitata_HIv3___RNAseq.g5395.t1	Q15256	PTPRR_HUMAN	40.695	489	235	16	565	1929	180	647	7.28e-92	301	2001	657	68	HIGH	Receptor-type tyrosine-protein phosphatase R
Montipora_capitata_HIv3___TS.g27115.t1	Q7RTR2	NLRC3_HUMAN	39.907	431	245	5	1897	3171	596	1018	1.04e-51	202	3417	1065	44	LOW	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g5498.t1	Q9FT74	RQL1_ARATH	28.185	259	147	10	7	711	250	493	4.80e-18	87.0	801	606	88	LOW	ATP-dependent DNA helicase Q-like 1
Montipora_capitata_HIv3___RNAseq.g6055.t1	P15043	RECQ_ECOLI	27.107	439	240	16	34	1278	22	404	5.50e-29	125	1755	609	71	LOW	ATP-dependent DNA helicase RecQ
Montipora_capitata_HIv3___TS.g28207.t1a	Q71RS6	NCKX5_HUMAN	40.043	462	254	5	226	1548	39	498	1.18e-122	372	1557	500	85	HIGH	Sodium/potassium/calcium exchanger 5
Montipora_capitata_HIv3___RNAseq.g6475.t1	Q7RTR2	NLRC3_HUMAN	43.350	203	104	8	286	894	670	861	3.25e-23	103	918	1065	68	HIGH	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g6531.t1	Q00690	LYAM2_MOUSE	35.294	102	51	5	511	798	47	139	1.60e-06	54.3	1248	612	23	LOW	E-selectin
Montipora_capitata_HIv3___RNAseq.g6561.t1	Q9UNL4	ING4_HUMAN	43.750	80	33	3	1603	1809	166	244	3.39e-13	73.6	1812	249	11	LOW	Inhibitor of growth protein 4
Montipora_capitata_HIv3___RNAseq.g6602.t1	Q96CG8	CTHR1_HUMAN	44.262	183	91	4	145	660	61	243	4.41e-43	148	669	243	77	HIGH	Collagen triple helix repeat-containing protein 1
Montipora_capitata_HIv3___TS.g28387.t1	Q96CG8	CTHR1_HUMAN	43.716	183	92	4	520	1035	61	243	6.62e-41	146	1044	243	49	LOW	Collagen triple helix repeat-containing protein 1
Montipora_capitata_HIv3___RNAseq.g6712.t1	Q01528	HAAF_LIMPO	37.500	168	91	3	202	687	12	171	5.55e-27	105	705	172	70	MEDIUM	Hemagglutinin/amebocyte aggregation factor
Montipora_capitata_HIv3___TS.g28497.t1	Q8IY33	MILK2_HUMAN	36.567	268	139	3	103	906	2	238	9.27e-50	196	5634	904	19	LOW	MICAL-like protein 2
Montipora_capitata_HIv3___TS.g28649.t1	Q9BYK8	HELZ2_HUMAN	30.655	1618	984	43	3298	8007	1354	2881	0.0	638	8034	2896	84	MEDIUM	3'-5' exoribonuclease HELZ2
Montipora_capitata_HIv3___RNAseq.g6907.t1	Q6NYU2	HELZ_DANRE	35.523	746	403	19	55	2109	351	1079	1.73e-126	416	2115	1860	97	MEDIUM	Probable helicase with zinc finger domain
Montipora_capitata_HIv3___RNAseq.g6908.t1	Q9BYK8	HELZ2_HUMAN	34.740	616	348	18	2710	4521	2128	2701	9.56e-81	299	4524	2896	85	MEDIUM	3'-5' exoribonuclease HELZ2
Montipora_capitata_HIv3___RNAseq.g6934.t1	Q9JL55	GDE1_RAT	41.729	266	148	5	91	882	66	326	1.21e-58	194	897	331	88	HIGH	Glycerophosphodiester phosphodiesterase 1
Montipora_capitata_HIv3___RNAseq.g6978.t1	O94806	KPCD3_HUMAN	52.941	68	29	1	70	264	432	499	2.02e-15	75.5	444	890	44	LOW	Serine/threonine-protein kinase D3
Montipora_capitata_HIv3___RNAseq.g7049.t1	Q29RU2	OIT3_BOVIN	30.189	371	229	15	472	1536	190	546	3.12e-39	154	1740	547	61	MEDIUM	Oncoprotein-induced transcript 3 protein
Montipora_capitata_HIv3___TS.g28822.t2	Q12767	TMM94_HUMAN	34.967	898	464	16	1774	4386	552	1356	2.80e-147	488	4389	1356	87	MEDIUM	Transmembrane protein 94
Montipora_capitata_HIv3___RNAseq.g7098.t1	P98161	PKD1_HUMAN	22.231	1210	737	50	2884	6384	1515	2563	2.34e-32	143	6540	4303	61	LOW	Polycystin-1
Montipora_capitata_HIv3___TS.g28908.t1	Q8C2A2	SEN54_MOUSE	38.583	127	76	2	175	552	43	168	1.37e-19	93.6	1083	525	69	MEDIUM	tRNA-splicing endonuclease subunit Sen54
Montipora_capitata_HIv3___TS.g28995.t1	P38446	NUCA_NOSS1	35.652	115	68	2	589	930	122	231	4.03e-09	60.8	1131	274	30	LOW	Nuclease
Montipora_capitata_HIv3___RNAseq.g30230.t1	Q5R2J2	G3P_PELSI	74.763	317	78	2	4	954	1	315	1.21e-173	488	1032	333	92	HIGH	Glyceraldehyde-3-phosphate dehydrogenase
Montipora_capitata_HIv3___RNAseq.g30392.t1	O70628	PDE9A_MOUSE	43.636	495	262	8	10	1476	11	494	3.44e-137	410	1596	534	92	HIGH	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A
Montipora_capitata_HIv3___RNAseq.g30422.t1	A8XJN7	FKH02_CAEBR	52.941	85	38	1	307	555	95	179	8.40e-22	96.7	1035	279	24	LOW	Forkhead box protein fkh-2
Montipora_capitata_HIv3___RNAseq.g30427.t1	Q9H3D4	P63_HUMAN	36.226	265	155	9	397	1167	166	424	4.46e-38	151	1485	680	52	MEDIUM	Tumor protein 63
Montipora_capitata_HIv3___RNAseq.g30434.t1	Q7TNS2	MIC10_MOUSE	56.338	71	27	1	19	219	2	72	2.31e-15	69.3	402	76	50	MEDIUM	MICOS complex subunit Mic10
Montipora_capitata_HIv3___TS.g14965.t1	Q9JHX4	CASP8_RAT	34.483	261	132	7	1	699	230	479	2.79e-39	144	702	482	99	MEDIUM	Caspase-8
Montipora_capitata_HIv3___RNAseq.g30553.t1	V5BCL0	PLP1_TOXGV	24.096	332	194	8	37	891	465	785	7.14e-09	62.8	1665	1161	51	LOW	Perforin-like protein 1
Montipora_capitata_HIv3___RNAseq.29872_t	Q94464	DYNA_DICDI	24.561	513	314	15	112	1581	23	485	9.91e-16	85.1	2118	853	69	LOW	Dynamin-A
Montipora_capitata_HIv3___RNAseq.g30609.t1	Q7RTR2	NLRC3_HUMAN	40.639	219	121	3	142	771	639	857	5.10e-31	125	798	1065	79	HIGH	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g30678.t1b	Q9CR50	ZN363_MOUSE	42.537	134	65	5	775	1164	63	188	2.20e-21	95.9	1191	261	33	LOW	RING finger and CHY zinc finger domain-containing protein 1
Montipora_capitata_HIv3___RNAseq.g30833.t1	Q5DU56	NLRC3_MOUSE	43.866	269	151	0	821	15	684	952	6.18e-46	174	1365	1064	68	HIGH	Protein NLRC3
Montipora_capitata_HIv3___RNAseq.g30839.t1	Q7RTR2	NLRC3_HUMAN	41.509	371	189	1	1798	2826	673	1043	2.52e-47	187	2865	1065	59	MEDIUM	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g30844.t1	Q7RTR2	NLRC3_HUMAN	39.608	255	126	1	109	789	706	960	3.53e-40	152	834	1065	82	MEDIUM	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___TS.g15339.t1	Q5DU56	NLRC3_MOUSE	46.667	225	120	0	1429	2103	761	985	4.44e-43	171	2151	1064	34	LOW	Protein NLRC3
Montipora_capitata_HIv3___TS.g15341.t1	Q5DU56	NLRC3_MOUSE	43.537	147	83	0	1267	1707	802	948	1.85e-24	112	1725	1064	26	LOW	Protein NLRC3
Montipora_capitata_HIv3___RNAseq.g30901.t1	B1VEI4	MSHA_CORU7	25.837	418	256	21	724	1860	22	424	4.51e-14	79.0	2601	424	44	LOW	D-inositol 3-phosphate glycosyltransferase
Montipora_capitata_HIv3___RNAseq.g30913.t1	Q55E58	PATS1_DICDI	27.007	274	128	10	958	1734	1787	2003	3.35e-16	88.2	2847	3184	27	LOW	Probable serine/threonine-protein kinase pats1
Montipora_capitata_HIv3___RNAseq.g30925.t1	Q8MVR1	GBPC_DICDI	23.774	265	147	7	1552	2322	392	609	4.05e-10	67.8	2382	2631	32	LOW	Cyclic GMP-binding protein C
Montipora_capitata_HIv3___RNAseq.g30993.t1	P30437	CP17A_ONCMY	35.275	309	190	6	34	942	199	503	1.67e-56	194	951	514	96	MEDIUM	Steroid 17-alpha-hydroxylase/17,20 lyase
Montipora_capitata_HIv3___RNAseq.g31152.t1	P54735	SPKD_SYNY3	29.940	167	97	7	82	570	63	213	1.65e-10	63.9	690	505	71	LOW	Serine/threonine-protein kinase D
Montipora_capitata_HIv3___RNAseq.g31228.t1	Q8CDF7	EXD1_MOUSE	37.895	95	59	0	82	366	151	245	7.83e-13	72.8	1002	570	28	LOW	piRNA biogenesis protein EXD1
Montipora_capitata_HIv3___RNAseq.g31229.t1	Q9WVK8	CP46A_MOUSE	34.667	75	46	2	73	291	21	94	1.08e-08	55.8	438	500	50	LOW	Cholesterol 24-hydroxylase
Montipora_capitata_HIv3___RNAseq.g31504.t1	Q8R4V5	OIT3_MOUSE	34.069	317	189	11	460	1389	220	523	4.88e-45	170	1623	546	57	MEDIUM	Oncoprotein-induced transcript 3 protein
Montipora_capitata_HIv3___RNAseq.g31717.t1	Q09575	YRD6_CAEEL	27.068	399	261	9	1489	2631	714	1100	4.98e-36	152	2898	1268	39	LOW	Uncharacterized protein K02A2.6
Montipora_capitata_HIv3___RNAseq.g32149.t1	Q9BWF2	TRAIP_HUMAN	27.397	438	265	12	4	1188	3	430	9.46e-32	129	1311	469	90	LOW	E3 ubiquitin-protein ligase TRAIP
Montipora_capitata_HIv3___RNAseq.g32219.t1	Q9H8Y1	VRTN_HUMAN	27.219	169	108	5	4	498	91	248	1.14e-07	59.3	2205	702	22	LOW	Vertnin
Montipora_capitata_HIv3___TS.g17173.t1	Q19269	NAS14_CAEEL	53.731	134	59	2	1906	2304	180	311	1.45e-37	151	2487	503	16	LOW	Zinc metalloproteinase nas-14
Montipora_capitata_HIv3___RNAseq.g33271.t1	O88917	AGRL1_RAT	40.816	98	54	2	85	372	35	130	1.58e-15	82.4	1146	1515	25	LOW	Adhesion G protein-coupled receptor L1
Montipora_capitata_HIv3___TS.g17943.t1	P86982	IMSP1_RUDPH	41.085	129	64	2	436	822	16	132	5.10e-21	93.6	2511	148	15	LOW	Insoluble matrix shell protein 1 (Fragment)
Montipora_capitata_HIv3___RNAseq.g33449.t1	P09487	PPBT_BOVIN	48.156	488	233	8	157	1596	19	494	1.39e-146	435	1653	524	87	HIGH	Alkaline phosphatase, tissue-nonspecific isozyme
Montipora_capitata_HIv3___RNAseq.g33467.t1	Q6IR68	THA11_XENLA	53.488	86	33	1	25	261	3	88	1.16e-17	87.0	1434	298	17	LOW	THAP domain-containing protein 11
Montipora_capitata_HIv3___RNAseq.g33643.t1	P83858	QRFPR_RAT	28.037	107	65	2	13	297	234	340	1.25e-08	54.7	360	433	79	LOW	Pyroglutamylated RF-amide peptide receptor
Montipora_capitata_HIv3___RNAseq.g33912.t1	P21872	PUR2_CHICK	54.520	719	290	7	10	2154	317	1002	0.0	686	2163	1003	99	HIGH	Trifunctional purine biosynthetic protein adenosine-3
Montipora_capitata_HIv3___RNAseq.g33934.t1	P79393	PI2R_BOVIN	30.189	212	139	4	754	1380	97	302	2.47e-16	84.7	1596	385	39	LOW	Prostacyclin receptor
Montipora_capitata_HIv3___RNAseq.g33940.t1	P79393	PI2R_BOVIN	28.188	298	200	7	70	942	12	302	5.24e-21	97.1	1158	385	75	LOW	Prostacyclin receptor
Montipora_capitata_HIv3___RNAseq.g33991.t1	P80010	PLMN_HORSE	39.773	264	135	6	43	792	79	332	5.64e-49	168	816	338	92	MEDIUM	Plasminogen (Fragment)
Montipora_capitata_HIv3___RNAseq.g33992.t1	P80010	PLMN_HORSE	39.773	264	135	6	46	795	79	332	1.02e-48	168	867	338	87	MEDIUM	Plasminogen (Fragment)
Montipora_capitata_HIv3___TS.g18509.t1	Q5UAW9	GP157_HUMAN	41.429	210	110	4	43	645	79	284	1.00e-39	144	831	335	73	HIGH	G-protein coupled receptor 157
Montipora_capitata_HIv3___RNAseq.g33997.t1	A7S5D9	IYD_NEMVE	69.412	255	77	1	106	870	11	264	2.51e-130	374	873	264	88	HIGH	Iodotyrosine deiodinase
Montipora_capitata_HIv3___RNAseq.33535_t	Q8IVG5	SAM9L_HUMAN	26.084	1522	896	61	2338	6591	186	1582	1.19e-83	309	6903	1584	62	LOW	Sterile alpha motif domain-containing protein 9-like
Montipora_capitata_HIv3___RNAseq.g34072.t1	O75762	TRPA1_HUMAN	29.140	1081	705	23	898	4071	38	1080	3.13e-115	392	4170	1119	76	LOW	Transient receptor potential cation channel subfamily A member 1
Montipora_capitata_HIv3___RNAseq.g34092.t1	P78417	GSTO1_HUMAN	42.105	228	123	7	16	678	11	236	2.30e-50	167	708	241	94	HIGH	Glutathione S-transferase omega-1
Montipora_capitata_HIv3___RNAseq.g34299.t1	Q9XWB9	BAT36_CAEEL	29.697	165	103	6	109	597	151	304	3.29e-08	57.8	939	320	52	LOW	BTB and MATH domain-containing protein 36
Montipora_capitata_HIv3___RNAseq.g34374.t1	Q6I6M7	FGF1_CYNPY	32.836	134	85	2	436	831	18	148	5.09e-16	76.6	843	148	47	LOW	Fibroblast growth factor 1 (Fragment)
Montipora_capitata_HIv3___RNAseq.g34571.t1	Q24133	DNAJ1_DROME	50.581	344	158	7	1	1026	1	334	6.47e-101	303	1029	334	99	HIGH	DnaJ protein homolog 1
Montipora_capitata_HIv3___RNAseq.g34640.t1	O61267	LOK_DROME	28.102	274	143	10	82	870	169	399	1.05e-16	89.0	4524	476	17	LOW	Ovarian-specific serine/threonine-protein kinase Lok
Montipora_capitata_HIv3___RNAseq.34213_t	O15247	CLIC2_HUMAN	30.769	234	138	3	19	663	12	240	3.35e-16	78.6	696	247	93	MEDIUM	Chloride intracellular channel protein 2
Montipora_capitata_HIv3___TS.g7286.t1	Q09575	YRD6_CAEEL	28.696	230	117	5	1327	1881	452	679	4.12e-24	112	1992	1268	28	LOW	Uncharacterized protein K02A2.6
Montipora_capitata_HIv3___RNAseq.g24139.t1	Q924A5	S36A1_RAT	44.366	426	211	4	217	1425	38	460	8.79e-108	331	1449	475	83	HIGH	Proton-coupled amino acid transporter 1
Montipora_capitata_HIv3___RNAseq.g24143.t1	Q6GMK0	MGT4B_DANRE	50.787	508	234	4	154	1656	45	543	0.0	525	1677	547	90	HIGH	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
Montipora_capitata_HIv3___TS.g7322.t1	Q1EHB4	SC5AC_HUMAN	37.479	603	351	11	16	1803	5	588	5.57e-107	338	1806	618	99	MEDIUM	Sodium-coupled monocarboxylate transporter 2
Montipora_capitata_HIv3___RNAseq.g24303.t1	O00468	AGRIN_HUMAN	33.229	319	177	11	511	1422	461	758	1.04e-36	148	1467	2068	66	MEDIUM	Agrin
Montipora_capitata_HIv3___RNAseq.g24510.t1	A9KNW4	IF2_LACP7	40.000	175	95	6	35	559	246	410	8.46e-15	75.9	603	1131	88	MEDIUM	Translation initiation factor IF-2
Montipora_capitata_HIv3___RNAseq.g24524.t1	Q8VE88	F1142_MOUSE	33.724	427	230	11	766	1971	89	487	2.59e-51	188	1974	497	61	MEDIUM	Protein FAM114A2
Montipora_capitata_HIv3___RNAseq.g24595.t1	P54289	CA2D1_HUMAN	29.580	1119	669	33	97	3261	33	1096	1.95e-139	451	3273	1103	97	LOW	Voltage-dependent calcium channel subunit alpha-2/delta-1
Montipora_capitata_HIv3___RNAseq.g24606.t1	P34892	KIN16_CAEEL	32.404	287	113	9	469	1116	173	449	9.20e-34	135	1302	495	50	MEDIUM	Receptor-like tyrosine-protein kinase kin-16
Montipora_capitata_HIv3___RNAseq.g24728.t1	Q7TN88	PK1L2_MOUSE	28.980	735	461	15	4816	6945	923	1621	2.06e-80	302	10419	2461	39	LOW	Polycystin-1-like protein 2
Montipora_capitata_HIv3___RNAseq.g24730.t1	P07207	NOTCH_DROME	37.960	1196	581	32	3244	6417	197	1369	0.0	703	6837	2703	49	LOW	Neurogenic locus Notch protein
Montipora_capitata_HIv3___RNAseq.g24836.t1	O42449	IOD1_ORENI	42.328	189	107	2	34	600	59	245	2.96e-48	161	645	248	88	HIGH	Type I iodothyronine deiodinase
Montipora_capitata_HIv3___TS.g8021.t1	Q29599	OAS1_PIG	30.031	323	198	10	421	1323	11	327	2.09e-39	148	1374	349	66	MEDIUM	2'-5'-oligoadenylate synthase 1
Montipora_capitata_HIv3___RNAseq.g24858.t1	P11928	OAS1A_MOUSE	30.960	323	191	9	292	1182	13	329	2.20e-36	139	1233	367	72	MEDIUM	2'-5'-oligoadenylate synthase 1A
Montipora_capitata_HIv3___RNAseq.g24942.t1	Q7L576	CYFP1_HUMAN	61.609	1193	439	8	1342	4893	70	1252	0.0	1439	4902	1253	99	HIGH	Cytoplasmic FMR1-interacting protein 1
Montipora_capitata_HIv3___RNAseq.g24945.t1	Q6NWH0	CK068_DANRE	50.521	192	78	6	460	1008	47	230	7.29e-56	186	1056	249	52	MEDIUM	UPF0696 protein C11orf68 homolog
Montipora_capitata_HIv3___RNAseq.g24974.t1	B2RQR8	ECE2_MOUSE	39.306	692	399	13	229	2280	85	763	1.17e-177	531	2304	763	89	MEDIUM	Endothelin-converting enzyme 2
Montipora_capitata_HIv3___RNAseq.g25047.t1	P24731	AN_NPVAC	27.632	228	137	10	928	1566	48	262	1.80e-07	57.8	1803	419	35	LOW	Alkaline nuclease
Montipora_capitata_HIv3___RNAseq.g25083.t1	O14522	PTPRT_HUMAN	25.223	337	218	8	58	1026	502	818	3.20e-16	84.3	1167	1441	83	LOW	Receptor-type tyrosine-protein phosphatase T
Montipora_capitata_HIv3___RNAseq.g25137.t1	P47970	NPTX2_CAVPO	33.333	183	118	2	151	693	221	401	1.34e-35	134	756	427	72	MEDIUM	Neuronal pentraxin-2
Montipora_capitata_HIv3___RNAseq.g25143.t1	P47970	NPTX2_CAVPO	32.240	183	120	2	100	642	221	401	1.32e-34	131	729	427	74	MEDIUM	Neuronal pentraxin-2
Montipora_capitata_HIv3___RNAseq.g25176.t1	O70244	CUBN_RAT	30.151	398	218	18	121	1293	1291	1635	9.16e-27	119	1608	3623	74	MEDIUM	Cubilin
Montipora_capitata_HIv3___RNAseq.g25591.t1	Q16720	AT2B3_HUMAN	40.210	572	317	11	1951	3645	508	1061	1.24e-115	394	3864	1220	89	HIGH	Plasma membrane calcium-transporting ATPase 3
Montipora_capitata_HIv3___RNAseq.g26051.t1	P98133	FBN1_BOVIN	42.609	115	64	2	2140	2484	1322	1434	5.19e-16	87.4	2658	2871	18	LOW	Fibrillin-1
Montipora_capitata_HIv3___RNAseq.g26412.t1	A6H603	NWD1_MOUSE	31.848	920	566	24	496	3177	4	888	4.16e-100	360	5253	1563	51	MEDIUM	NACHT domain- and WD repeat-containing protein 1
Montipora_capitata_HIv3___RNAseq.g26525.t1	Q8VHK7	HDGF_RAT	56.977	86	34	2	16	270	13	96	6.96e-16	79.7	1134	237	22	LOW	Hepatoma-derived growth factor
Montipora_capitata_HIv3___RNAseq.g26562.t1	Q8RB32	GDPD_CALS4	33.889	180	109	4	157	696	2	171	8.37e-19	88.2	1155	243	47	LOW	Glycerophosphodiester phosphodiesterase
Montipora_capitata_HIv3___RNAseq.g26580.t1	Q2KIK0	SGT1_BOVIN	55.906	127	48	2	1	378	219	338	4.36e-32	118	387	338	98	HIGH	Protein SGT1 homolog
Montipora_capitata_HIv3___RNAseq.g26595.t1	A2AAE1	BLTP1_MOUSE	33.785	2507	1288	74	7588	14613	2693	4992	0.0	1058	14646	5005	82	MEDIUM	Bridge-like lipid transfer protein family member 1
Montipora_capitata_HIv3___TS.g9841.t2	O70511	ANK3_RAT	35.612	278	161	3	244	1077	448	707	3.81e-37	148	1278	2622	67	MEDIUM	Ankyrin-3
